DEGREE_NO,DEGREE_NAME
1,"Performing Arts"
2,"Business Administration"
3,"Sports Management"
4,"Hospitality Management"
5,Undecided
6,Information_technology
7,DEGREE_NAME
8,Accounting
9,"Criminal Justice"
10,Nursing
11,"Social Work"
12,Psychology
13,Education
14,Engineering
15,"Data Science"
16,"Mechanical Engineering"
17,"Graphic Design"
18,"Interior Design"
19,"Creative Writing"
20,"Human Services"
21,"Computer Science"
22,Philosophy
23,Marketing
24,Journalism
25,Entrepreneurship
26,"Political Science"
27,Management
28,"Public Administration"
29,Nursing
30,"Elementary Education"
31,Counseling
32,Communications
33,Law
34,Finance
